id,manufacturer,company_location,bean_origin,cocoa_percent,num_ingredients,ingredients,rating
370,Aequare (Gianduja),Ecuador,Ecuador,55.0,4.0,"B,S,C,V",2.75
370,Aequare (Gianduja),Ecuador,Ecuador,70.0,4.0,"B,S,C,V",3.0
316,Ah Cacao,Mexico,Mexico,70.0,3.0,"B,S,C",3.0
502,Akesson's (Pralus),U.K.,Madagascar,75.0,4.0,"B,S,C,L",2.75
508,Akesson's (Pralus),U.K.,Brazil,75.0,4.0,"B,S,C,L",2.75
636,Akesson's (Pralus),U.K.,Indonesia,75.0,4.0,"B,S,C,L",3.75
1061,Alain Ducasse,France,Venezuela,75.0,5.0,"B,S,C,V,L",2.5
1173,Alain Ducasse,France,Peru,75.0,5.0,"B,S,C,V,L",2.5
1215,Alain Ducasse,France,Trinidad,65.0,6.0,"B,S,C,V,L,Sa",2.75
1215,Alain Ducasse,France,Vietnam,75.0,5.0,"B,S,C,V,Sa",2.75
1215,Alain Ducasse,France,Madagascar,75.0,5.0,"B,S,C,V,Sa",3.0
1992,Alain Ducasse,France,Mexico,75.0,6.0,"B,S,C,V,L,Sa",3.5
1944,Alexandre,Netherlands,Ecuador,70.0,3.0,"B,S,C",3.5
1944,Alexandre,Netherlands,Nicaragua,70.0,3.0,"B,S,C",3.5
1944,Alexandre,Netherlands,Tanzania,70.0,3.0,"B,S,C",3.5
1944,Alexandre,Netherlands,Vietnam,70.0,3.0,"B,S,C",3.5
1125,Altus aka Cao Artisan,U.S.A.,Venezuela,60.0,4.0,"B,S,C,L",2.5
1125,Altus aka Cao Artisan,U.S.A.,Dominican Republic,60.0,4.0,"B,S,C,L",3.0
1133,Altus aka Cao Artisan,U.S.A.,Bolivia,60.0,4.0,"B,S,C,L",3.0
1129,Altus aka Cao Artisan,U.S.A.,Bolivia,80.0,4.0,"B,S,C,L",3.25
1133,Altus aka Cao Artisan,U.S.A.,Peru,60.0,4.0,"B,S,C,L",3.25
1732,Altus aka Cao Artisan,U.S.A.,Bolivia,60.0,3.0,"B,S,C",2.5
1732,Altus aka Cao Artisan,U.S.A.,Peru,60.0,3.0,"B,S,C",2.5
1728,Altus aka Cao Artisan,U.S.A.,Nicaragua,60.0,3.0,"B,S,C",2.75
1732,Altus aka Cao Artisan,U.S.A.,Ecuador,60.0,3.0,"B,S,C",2.75
1728,Altus aka Cao Artisan,U.S.A.,Peru,60.0,3.0,"B,S,C",3.0
2044,Altus aka Cao Artisan,U.S.A.,Dominican Republic,70.0,3.0,"B,S,C",3.0
147,Amano,U.S.A.,Venezuela,70.0,4.0,"B,S,C,V",3.0
129,Amano,U.S.A.,Madagascar,70.0,4.0,"B,S,C,V",3.5
175,Amano,U.S.A.,Venezuela,70.0,4.0,"B,S,C,V",3.75
304,Amano,U.S.A.,Indonesia,70.0,4.0,"B,S,C,V",2.75
363,Amano,U.S.A.,Venezuela,70.0,4.0,"B,S,C,V",3.0
544,Amano,U.S.A.,Venezuela,70.0,4.0,"B,S,C,V",3.0
470,Amano,U.S.A.,Dominican Republic,70.0,4.0,"B,S,C,V",3.75
470,Amano,U.S.A.,Ecuador,70.0,4.0,"B,S,C,V",4.0
725,Amano,U.S.A.,Papua New Guinea,70.0,4.0,"B,S,C,V",4.0
327,Amatller (Simon Coll),Spain,Ecuador,70.0,2.0,"B,S",2.75
464,Amatller (Simon Coll),Spain,Ecuador,85.0,2.0,"B,S",2.75
322,Amatller (Simon Coll),Spain,Ghana,70.0,2.0,"B,S",3.0
464,Amatller (Simon Coll),Spain,Ghana,85.0,2.0,"B,S",3.0
1964,Amazing Cacao,Russia,Peru,70.0,,,3.0
1964,Amazing Cacao,Russia,Peru,70.0,,,3.5
1145,Amazona,Peru,Peru,72.0,3.0,"B,S,C",3.25
1145,Amazona,Peru,Peru,73.0,3.0,"B,S,C",3.5
1494,Ambrosia,Canada,Belize,64.0,4.0,"B,S,C,L",3.0
1494,Ambrosia,Canada,Madagascar,66.0,2.0,"B,S",3.25
1498,Ambrosia,Canada,Dominican Republic,75.0,2.0,"B,S",3.25
1498,Ambrosia,Canada,Papua New Guinea,63.0,2.0,"B,S",3.25
1498,Ambrosia,Canada,Venezuela,70.0,2.0,"B,S",3.25
1498,Ambrosia,Canada,Peru,68.0,2.0,"B,S",3.5
75,Amedei,Italy,Blend,66.0,4.0,"B,S,C,V",3.75
123,Amedei,Italy,Ecuador,70.0,4.0,"B,S,C,V",3.0
123,Amedei,Italy,Jamaica,70.0,4.0,"B,S,C,V",3.0
123,Amedei,Italy,Grenada,70.0,4.0,"B,S,C,V",3.5
129,Amedei,Italy,Trinidad,70.0,4.0,"B,S,C,V",3.5
170,Amedei,Italy,Blend,63.0,4.0,"B,S,C,V",3.5
123,Amedei,Italy,Venezuela,70.0,4.0,"B,S,C,V",3.75
979,Amedei,Italy,Peru,70.0,4.0,"B,S,C,V",3.75
2088,Amedei,Italy,Madagascar,70.0,4.0,"B,S,C,V",3.0
2088,Amedei,Italy,Venezuela,70.0,4.0,"B,S,C,V",3.0
2092,Amedei,Italy,Venezuela,70.0,4.0,"B,S,C,V",3.0
2092,Amedei,Italy,Blend,75.0,4.0,"B,S,C,V",3.5
2434,Amedei,Italy,Blend,70.0,3.0,"B,S,C",2.75
572,AMMA,Brazil,Brazil,85.0,4.0,"B,S,C,L",2.75
572,AMMA,Brazil,Brazil,50.0,4.0,"B,S,C,L",3.75
572,AMMA,Brazil,Brazil,75.0,4.0,"B,S,C,L",3.75
572,AMMA,Brazil,Brazil,60.0,4.0,"B,S,C,L",4.0
1065,AMMA,Brazil,Brazil,75.0,4.0,"B,S,C,L",3.25
1259,Anahata,U.S.A.,Dominican Republic,75.0,2.0,"B,S",3.0
1852,Animas,U.S.A.,Bolivia,75.0,2.0,"B,S",3.5
2586,Animas,U.S.A.,Belize,75.0,2.0,"B,S",3.0
2586,Animas,U.S.A.,Guatemala,75.0,2.0,"B,S",3.25
1379,Ara,France,Mexico,72.0,3.0,"B,S,C",2.5
1379,Ara,France,Ecuador,75.0,3.0,"B,S,C",2.75
1375,Ara,France,Madagascar,75.0,3.0,"B,S,C",3.0
1379,Ara,France,Venezuela,75.0,3.0,"B,S,C",3.0
1602,Arete,U.S.A.,Brazil,75.0,2.0,"B,S",2.75
1602,Arete,U.S.A.,Guatemala,70.0,2.0,"B,S",3.25
1534,Arete,U.S.A.,Brazil,70.0,2.0,"B,S",3.5
1534,Arete,U.S.A.,Peru,68.0,2.0,"B,S",3.5
1598,Arete,U.S.A.,Dominican Republic,70.0,2.0,"B,S",3.5
1602,Arete,U.S.A.,Ecuador,75.0,3.0,"B,S,C",3.5
1534,Arete,U.S.A.,Ecuador,70.0,2.0,"B,S",3.75
1598,Arete,U.S.A.,Belize,70.0,2.0,"B,S",3.75
1598,Arete,U.S.A.,Nicaragua,70.0,2.0,"B,S",4.0
1904,Arete,U.S.A.,Ecuador,70.0,3.0,"B,S,C",3.25
1904,Arete,U.S.A.,Ecuador,70.0,3.0,"B,S,C",3.25
1928,Arete,U.S.A.,Fiji,70.0,2.0,"B,S",3.25
1928,Arete,U.S.A.,Vietnam,73.0,2.0,"B,S",3.25
1724,Arete,U.S.A.,Trinidad,70.0,2.0,"B,S",3.5
1900,Arete,U.S.A.,Vietnam,73.0,3.0,"B,S,C",3.5
1904,Arete,U.S.A.,Guatemala,70.0,2.0,"B,S",3.5
1908,Arete,U.S.A.,Honduras,70.0,2.0,"B,S",3.5
1724,Arete,U.S.A.,Tanzania,70.0,2.0,"B,S",3.75
1904,Arete,U.S.A.,Nicaragua,70.0,3.0,"B,S,C",3.75
1928,Arete,U.S.A.,Dominican Republic,70.0,2.0,"B,S",3.75
1908,Arete,U.S.A.,Costa Rica,70.0,2.0,"B,S",4.0
1924,Arete,U.S.A.,Peru,70.0,2.0,"B,S",4.0
2020,Arete,U.S.A.,India,70.0,2.0,"B,S",3.5
2020,Arete,U.S.A.,Madagascar,70.0,3.0,"B,S,C",3.5
2020,Arete,U.S.A.,Vietnam,73.0,3.0,"B,S,C",3.5
2028,Arete,U.S.A.,Peru,70.0,3.0,"B,S,C",3.5
2024,Arete,U.S.A.,Bolivia,70.0,2.0,"B,S",4.0
2028,Arete,U.S.A.,Haiti,70.0,2.0,"B,S",4.0
2068,Arete,U.S.A.,Trinidad,70.0,2.0,"B,S",3.0
2254,Arete,U.S.A.,Colombia,70.0,2.0,"B,S",4.0
2450,Arete,U.S.A.,India,70.0,3.0,"B,S,C",3.0
2330,Arete,U.S.A.,India,70.0,3.0,"B,S,C",3.25
2166,Argencove,Nicaragua,Nicaragua,70.0,2.0,"B,S",3.0
2162,Argencove,Nicaragua,Nicaragua,70.0,2.0,"B,S",3.25
2162,Argencove,Nicaragua,Nicaragua,70.0,2.0,"B,S",3.5
2162,Argencove,Nicaragua,Nicaragua,70.0,2.0,"B,S",3.5
300,Artisan du Chocolat,U.K.,Congo,72.0,3.0,"B,S,C",3.75
363,Artisan du Chocolat,U.K.,Brazil,72.0,3.0,"B,S,C",1.75
355,Artisan du Chocolat,U.K.,Venezuela,75.0,3.0,"B,S,C",2.5
355,Artisan du Chocolat,U.K.,Indonesia,72.0,3.0,"B,S,C",2.75
363,Artisan du Chocolat,U.K.,Madagascar,80.0,3.0,"B,S,C",3.0
363,Artisan du Chocolat,U.K.,Peru,75.0,3.0,"B,S,C",3.0
363,Artisan du Chocolat,U.K.,Dominican Republic,72.0,3.0,"B,S,C",3.25
486,Artisan du Chocolat,U.K.,Venezuela,100.0,,,1.75
600,Artisan du Chocolat,U.K.,Costa Rica,72.0,3.0,"B,S,C",3.25
600,Artisan du Chocolat,U.K.,Vietnam,72.0,3.0,"B,S,C",3.25
600,Artisan du Chocolat,U.K.,Indonesia,72.0,3.0,"B,S,C",3.5
531,Artisan du Chocolat,U.K.,Jamaica,72.0,3.0,"B,S,C",3.75
745,Artisan du Chocolat,U.K.,Panama,72.0,3.0,"B,S,C",2.75
729,Artisan du Chocolat,U.K.,Haiti,72.0,3.0,"B,S,C",4.0
947,Artisan du Chocolat,U.K.,Colombia,72.0,3.0,"B,S,C",3.75
1193,Artisan du Chocolat,U.K.,Trinidad,72.0,3.0,"B,S,C",3.25
1181,Artisan du Chocolat (Casa Luker),U.K.,Colombia,72.0,4.0,"B,S,C,L",2.75
2562,Aruntam,Italy,India,72.0,4.0,"B,S,C,L",3.25
2562,Aruntam,Italy,Madagascar,72.0,4.0,"B,S,C,L",3.25
2566,Aruntam,Italy,Tanzania,72.0,4.0,"B,S,C,L",3.5
141,Askinosie,U.S.A.,Mexico,75.0,2.0,"B,S",2.5
175,Askinosie,U.S.A.,Ecuador,70.0,2.0,"B,S",3.0
331,Askinosie,U.S.A.,Philippines,77.0,2.0,"B,S",3.75
647,Askinosie,U.S.A.,Tanzania,72.0,2.0,"B,S",3.75
661,Askinosie,U.S.A.,Honduras,70.0,2.0,"B,S",3.75
1780,Askinosie,U.S.A.,Tanzania,68.0,3.0,"B,S,C",3.75
2434,Atypic,Australia,Solomon Islands,70.0,4.0,"B,S,C,L",3.0
2056,Auro,Philippines,Philippines,77.0,4.0,"B,S,V,L",2.75
2056,Auro,Philippines,Philippines,70.0,3.0,"B,S,C",3.0
2056,Auro,Philippines,Philippines,70.0,3.0,"B,S,C",3.0
2056,Auro,Philippines,Philippines,70.0,3.0,"B,S,C",3.5
2672,Avanaa,Canada,Colombia,70.0,2.0,"B,S",2.5
2672,Avanaa,Canada,Dominican Republic,70.0,2.0,"B,S",3.0
999,Bahen & Co.,Australia,Brazil,70.0,2.0,"B,S",2.5
999,Bahen & Co.,Australia,Blend,70.0,2.0,"B,S",2.5
995,Bahen & Co.,Australia,Madagascar,70.0,2.0,"B,S",3.0
1474,Bahen & Co.,Australia,Blend,80.0,2.0,"B,S",3.25
1474,Bahen & Co.,Australia,Papua New Guinea,70.0,2.0,"B,S",3.5
2146,Baiani,Brazil,Brazil,70.0,2.0,"B,S",3.0
1454,Bakau,Peru,Peru,70.0,3.0,"B,S,C",2.75
1454,Bakau,Peru,Peru,70.0,3.0,"B,S,C",3.5
2290,Bankston,U.S.A.,Belize,72.0,3.0,"B,S,C",2.5
2294,Bankston,U.S.A.,Uganda,82.0,3.0,"B,S,C",2.75
2294,Bankston,U.S.A.,Tanzania,72.0,3.0,"B,S,C",3.25
983,Bar Au Chocolat,U.S.A.,Dominican Republic,70.0,2.0,"B,S",3.25
983,Bar Au Chocolat,U.S.A.,Mexico,70.0,2.0,"B,S",3.5
983,Bar Au Chocolat,U.S.A.,Madagascar,70.0,2.0,"B,S",3.75
1295,Bar Au Chocolat,U.S.A.,Peru,70.0,2.0,"B,S",4.0
1554,Bar Au Chocolat,U.S.A.,Brazil,70.0,2.0,"B,S",3.5
1980,Bar Au Chocolat,U.S.A.,Costa Rica,72.0,2.0,"B,S",3.5
1980,Bar Au Chocolat,U.S.A.,Trinidad,80.0,2.0,"B,S",3.5
955,Baravelli's,Wales,Costa Rica,80.0,4.0,"B,S,C,V",2.75
1880,Batch,U.S.A.,Ecuador,65.0,3.0,"B,S,C",3.25
1840,Batch,U.S.A.,Dominican Republic,65.0,3.0,"B,S,C",3.5
1868,Batch,U.S.A.,Brazil,70.0,3.0,"B,S,C",3.75
2374,Bean,U.K.,Peru,70.0,4.0,"B,S,C,V",2.25
1948,Beau Cacao,U.K.,Malaysia,73.0,3.0,"B,S,C",3.0
1948,Beau Cacao,U.K.,Malaysia,72.0,3.0,"B,S,C",3.25
1784,Beehive,U.S.A.,Brazil,80.0,3.0,"B,S,C",2.75
1784,Beehive,U.S.A.,Dominican Republic,70.0,3.0,"B,S,C",2.75
1784,Beehive,U.S.A.,Ecuador,70.0,3.0,"B,S,C",2.75
1788,Beehive,U.S.A.,Ecuador,90.0,3.0,"B,S,C",2.75
586,Belcolade,Belgium,Costa Rica,64.0,4.0,"B,S,C,L",2.75
586,Belcolade,Belgium,Papua New Guinea,64.0,4.0,"B,S,C,L",2.75
586,Belcolade,Belgium,Peru,64.0,4.0,"B,S,C,L",2.75
586,Belcolade,Belgium,Ecuador,71.0,4.0,"B,S,C,L",3.5
1804,Bellflower,U.S.A.,Bolivia,70.0,3.0,"B,S,C",3.25
1800,Bellflower,U.S.A.,Tanzania,70.0,3.0,"B,S,C",3.5
1864,Bellflower,U.S.A.,Dominican Republic,70.0,2.0,"B,S",3.5
2190,Belvie,Vietnam,Vietnam,75.0,3.0,"B,S,C",3.25
2648,Belvie,Vietnam,Vietnam,70.0,3.0,"B,S,C",3.75
1768,Belyzium,Germany,Belize,83.0,3.0,"B,S,C",2.75
1768,Belyzium,Germany,Belize,78.0,3.0,"B,S,C",3.0
1768,Belyzium,Germany,Belize,83.0,3.0,"B,S,C",3.5
2246,Benns,Singapore,Vietnam,72.0,4.0,"B,S,C,L",3.0
2246,Benns,Singapore,India,72.0,4.0,"B,S,C,L",3.0
2246,Benns,Singapore,Malaysia,72.0,4.0,"B,S,C,L",3.0
773,Benoit Nihant,Belgium,Madagascar,72.0,3.0,"B,S,C",3.75
757,Benoit Nihant,Belgium,Indonesia,72.0,3.0,"B,S,C",4.0
1141,Benoit Nihant,Belgium,Cuba,74.0,3.0,"B,S,C",3.5
1141,Benoit Nihant,Belgium,Venezuela,74.0,3.0,"B,S,C",3.5
1141,Benoit Nihant,Belgium,Venezuela,74.0,3.0,"B,S,C",3.5
1141,Benoit Nihant,Belgium,Ecuador,73.0,3.0,"B,S,C",4.0
797,Bernachon,France,Blend,55.0,5.0,"B,S,C,V,L",2.75
508,Beschle (Felchlin),Switzerland,Venezuela,70.0,3.0,"B,S,C",3.25
508,Beschle (Felchlin),Switzerland,Venezuela,74.0,3.0,"B,S,C",3.25
508,Beschle (Felchlin),Switzerland,Indonesia,64.0,3.0,"B,S,C",3.5
508,Beschle (Felchlin),Switzerland,Venezuela,72.0,3.0,"B,S,C",3.5
636,Beschle (Felchlin),Switzerland,Madagascar,64.0,3.0,"B,S,C",3.0
636,Beschle (Felchlin),Switzerland,Venezuela,88.0,3.0,"B,S,C",3.0
636,Beschle (Felchlin),Switzerland,Venezuela,72.0,3.0,"B,S,C",3.5
636,Beschle (Felchlin),Switzerland,Ecuador,72.0,3.0,"B,S,C",4.0
1482,Bisou,U.S.A.,Nicaragua,76.0,2.0,"B,S",2.5
1486,Bisou,U.S.A.,Costa Rica,76.0,2.0,"B,S",2.5
1486,Bisou,U.S.A.,Costa Rica,78.0,4.0,"B,S,C,V",2.5
1486,Bisou,U.S.A.,Belize,86.0,4.0,"B,S,C,V",3.25
2088,Bitacora,Venezuela,Venezuela,70.0,4.0,"B,S,C,L",3.0
2088,Bitacora,Venezuela,Venezuela,70.0,4.0,"B,S,C,L",3.0
2084,Bitacora,Venezuela,Venezuela,70.0,4.0,"B,S,C,L",3.5
233,Bittersweet Origins,U.S.A.,Madagascar,71.0,2.0,"B,S",3.0
256,Bittersweet Origins,U.S.A.,Ghana,70.0,2.0,"B,S",3.0
233,Bittersweet Origins,U.S.A.,Panama,75.0,2.0,"B,S",3.5
233,Bittersweet Origins,U.S.A.,Dominican Republic,68.0,2.0,"B,S",3.75
414,Bittersweet Origins,U.S.A.,Dominican Republic,75.0,2.0,"B,S",3.0
423,Bittersweet Origins,U.S.A.,Madagascar,75.0,2.0,"B,S",3.25
414,Bittersweet Origins,U.S.A.,Dominican Republic,65.0,2.0,"B,S",3.5
431,Bittersweet Origins,U.S.A.,Madagascar,65.0,2.0,"B,S",3.5
558,Bittersweet Origins,U.S.A.,Indonesia,65.0,2.0,"B,S",2.75
565,Bittersweet Origins,U.S.A.,Madagascar,70.0,2.0,"B,S",3.0
565,Bittersweet Origins,U.S.A.,Venezuela,78.0,2.0,"B,S",3.0
478,Bittersweet Origins,U.S.A.,Indonesia,75.0,2.0,"B,S",3.25
502,Bittersweet Origins,U.S.A.,Blend,70.0,2.0,"B,S",3.75
963,Bittersweet Origins,U.S.A.,Ghana,72.0,3.0,"B,S,C",3.5
2108,Bixby,U.S.A.,Haiti,70.0,2.0,"B,S",3.0
2114,Bixby,U.S.A.,Guatemala,70.0,2.0,"B,S",3.0
2114,Bixby,U.S.A.,Dominican Republic,70.0,2.0,"B,S",3.25
2422,Bixby,U.S.A.,Belize,70.0,2.0,"B,S",2.75
256,Black Mountain,U.S.A.,Dominican Republic,70.0,3.0,"B,S,C",2.75
256,Black Mountain,U.S.A.,Venezuela,70.0,3.0,"B,S,C",2.75
256,Black Mountain,U.S.A.,Nicaragua,70.0,3.0,"B,S,C",3.0
2574,Black Mountain,U.S.A.,Dominican Republic,70.0,4.0,"B,S,C,L",3.75
1331,Black River (A. Morin),U.K.,Jamaica,70.0,4.0,"B,S,C,L",2.75
2590,Black Sheep,U.S.A.,Colombia,72.0,3.0,"B,S,C",3.25
2590,Black Sheep,U.S.A.,Belize,72.0,3.0,"B,S,C",3.25
322,Blanxart,Spain,Blend,72.0,4.0,"B,S,C,V",2.75
1046,Blanxart,Spain,Congo,82.0,4.0,"B,S,C,V",3.5
911,Blue Bandana,U.S.A.,Guatemala,70.0,3.0,"B,S,C",3.5
911,Blue Bandana,U.S.A.,Madagascar,70.0,3.0,"B,S,C",3.75
1752,Blue Bandana,U.S.A.,Guatemala,75.0,2.0,"B,S",2.75
1756,Blue Bandana,U.S.A.,Dominican Republic,75.0,2.0,"B,S",3.0
1740,Blue Bandana,U.S.A.,Madagascar,82.0,2.0,"B,S",3.5
1752,Blue Bandana,U.S.A.,Tanzania,75.0,2.0,"B,S",3.5
1996,Boho,U.S.A.,Belize,70.0,3.0,"B,S,C",2.75
2290,Bonaterra,Malaysia,Malaysia,68.0,2.0,"B,S",2.5
2290,Bonaterra,Malaysia,Malaysia,72.0,2.0,"B,S",2.75
2290,Bonaterra,Malaysia,Malaysia,74.0,2.0,"B,S",3.25
81,Bonnat,France,Blend,100.0,,,1.5
81,Bonnat,France,Sri Lanka,75.0,3.0,"B,S,C",3.0
24,Bonnat,France,Blend,75.0,3.0,"B,S,C",3.75
32,Bonnat,France,Venezuela,75.0,3.0,"B,S,C",3.75
75,Bonnat,France,Madagascar,75.0,3.0,"B,S,C",3.75
48,Bonnat,France,Venezuela,75.0,3.0,"B,S,C",4.0
81,Bonnat,France,Venezuela,75.0,3.0,"B,S,C",4.0
123,Bonnat,France,Ecuador,75.0,3.0,"B,S,C",2.5
199,Bonnat,France,Venezuela,75.0,3.0,"B,S,C",4.0
336,Bonnat,France,Peru,75.0,3.0,"B,S,C",2.75
331,Bonnat,France,Ivory Coast,75.0,3.0,"B,S,C",3.0
336,Bonnat,France,Mexico,75.0,3.0,"B,S,C",3.0
395,Bonnat,France,Mexico,75.0,3.0,"B,S,C",3.0
761,Bonnat,France,Jamaica,75.0,3.0,"B,S,C",3.25
629,Bonnat,France,Cuba,75.0,3.0,"B,S,C",3.5
629,Bonnat,France,Peru,75.0,3.0,"B,S,C",3.5
629,Bonnat,France,Peru,75.0,3.0,"B,S,C",3.5
672,Bonnat,France,Brazil,75.0,3.0,"B,S,C",3.5
629,Bonnat,France,Brazil,75.0,3.0,"B,S,C",3.75
629,Bonnat,France,Haiti,75.0,3.0,"B,S,C",4.0
629,Bonnat,France,Madagascar,75.0,3.0,"B,S,C",4.0
1042,Bonnat,France,Gabon,75.0,3.0,"B,S,C",3.25
1038,Bonnat,France,Brazil,75.0,3.0,"B,S,C",3.5
1418,Bonnat,France,Dominican Republic,75.0,3.0,"B,S,C",3.25
1418,Bonnat,France,Blend,65.0,3.0,"B,S,C",3.75
1339,Bonnat,France,Brazil,75.0,3.0,"B,S,C",4.0
1912,Bonnat,France,Mexico,75.0,3.0,"B,S,C",3.5
2246,Bonnat,France,Peru,75.0,3.0,"B,S,C",4.0
2250,Bonnat,France,Blend,75.0,3.0,"B,S,C",4.0
2554,Bonnat,France,Nicaragua,75.0,3.0,"B,S,C",3.75
341,Bouga Cacao (Tulicorp),Ecuador,Ecuador,100.0,,,1.5
316,Bouga Cacao (Tulicorp),Ecuador,Ecuador,77.0,2.0,"B,S",3.25
1267,Bowler Man,U.S.A.,Belize,70.0,,,2.75
1271,Bowler Man,U.S.A.,Dominican Republic,70.0,,,2.75
2254,Brasstown,U.S.A.,Ecuador,75.0,3.0,"B,S,C",3.5
2194,Brasstown,U.S.A.,Peru,70.0,3.0,"B,S,C",3.75
2096,Brasstown,U.S.A.,Bolivia,70.0,3.0,"B,S,C",4.0
2542,Brasstown,U.S.A.,Tanzania,62.0,3.0,"B,S,C",3.0
1125,Brasstown aka It's Chocolate,U.S.A.,Dominican Republic,72.0,5.0,"B,S,C,V,L",3.0
1125,Brasstown aka It's Chocolate,U.S.A.,Ecuador,70.0,5.0,"B,S,C,V,L",3.25
1129,Brasstown aka It's Chocolate,U.S.A.,Ghana,75.0,5.0,"B,S,C,V,L",3.5
1129,Brasstown aka It's Chocolate,U.S.A.,Venezuela,85.0,5.0,"B,S,C,V,L",3.5
1255,Brasstown aka It's Chocolate,U.S.A.,Belize,70.0,3.0,"B,S,C",3.75
1355,Brasstown aka It's Chocolate,U.S.A.,Venezuela,70.0,3.0,"B,S,C",4.0
1462,Brasstown aka It's Chocolate,U.S.A.,Dominican Republic,68.0,3.0,"B,S,C",3.75
1868,Brasstown aka It's Chocolate,U.S.A.,Venezuela,70.0,3.0,"B,S,C",3.5
1868,Brasstown aka It's Chocolate,U.S.A.,Nicaragua,70.0,3.0,"B,S,C",3.75
1980,Brasstown aka It's Chocolate,U.S.A.,Dominican Republic,70.0,3.0,"B,S,C",3.25
1984,Brasstown aka It's Chocolate,U.S.A.,Ecuador,75.0,3.0,"B,S,C",3.75
1518,Brazen,U.S.A.,Madagascar,80.0,3.0,"B,S,C",2.75
1514,Brazen,U.S.A.,Dominican Republic,60.0,3.0,"B,S,C",3.0
1514,Brazen,U.S.A.,Dominican Republic,80.0,3.0,"B,S,C",3.25
1518,Brazen,U.S.A.,Belize,80.0,3.0,"B,S,C",3.25
1518,Brazen,U.S.A.,Madagascar,60.0,3.0,"B,S,C",3.25
1514,Brazen,U.S.A.,Guatemala,70.0,2.0,"B,S",3.5
1149,Breeze Mill,U.S.A.,Jamaica,70.0,4.0,"B,S,C,V",3.0
1235,Bright,Australia,Trinidad,68.0,3.0,"B,S,C",2.75
